Reference,Value,Footprint,Layer,X_mm,Y_mm,Rotation_deg,DNP,Attributes
C1,100uF_50V_INPUT,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm,F.Cu,18.000,96.000,0.000,NO,1
C2,100nF_50V_INPUT,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,26.000,88.000,0.000,NO,2
C3,330uF_16V_OUTPUT_LOW_ESR,teensy-41-can-lin:CP_Radial_D8.0mm_P3.50mm,F.Cu,72.000,96.000,0.000,NO,1
C4,100nF_16V_OUTPUT,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,72.000,84.000,0.000,NO,2
C5,100nF_CAN_A_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,86.000,18.000,180.000,NO,2
C6,100nF_CAN_B_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,92.000,39.000,0.000,NO,2
C7,100nF_LIN_VSUP_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,82.000,64.000,0.000,NO,2
C8,22pF_Y1_OSC1,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,214.000,24.038,90.000,NO,2
C9,22pF_Y1_OSC2,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,205.963,18.000,0.000,NO,2
C10,22pF_Y2_OSC1,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,206.000,56.000,90.000,NO,2
C11,22pF_Y2_OSC2,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,205.000,69.463,-90.000,NO,2
C12,100nF_U6_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,184.000,24.000,180.000,NO,2
C13,100nF_U7_VDD_LOCAL,teensy-41-can-lin:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,F.Cu,181.000,62.000,0.000,NO,2
D1,SMBJ24CA_TVS_12V,teensy-41-can-lin:D_SMA,F.Cu,24.000,80.000,0.000,NO,2
D2,SS34_BUCK_SCHOTTKY,teensy-41-can-lin:D_SMA,F.Cu,56.000,98.000,0.000,NO,2
D3,LIN_MASTER_PULLUP_DIODE_DNP,teensy-41-can-lin:D_SMA,F.Cu,200.000,82.000,0.000,YES,2
D4,ESD_CAN_A_H_TVS_VERIFY,teensy-41-can-lin:D_SMA,F.Cu,176.000,92.000,0.000,NO,2
D5,ESD_CAN_A_L_TVS_VERIFY,teensy-41-can-lin:D_SMA,F.Cu,188.000,92.000,0.000,NO,2
D6,ESD_CAN_B_H_TVS_VERIFY,teensy-41-can-lin:D_SMA,F.Cu,200.000,92.000,0.000,NO,2
D7,ESD_CAN_B_L_TVS_VERIFY,teensy-41-can-lin:D_SMA,F.Cu,212.000,92.000,0.000,NO,2
D8,ESD_LIN_K_TVS_VERIFY,teensy-41-can-lin:D_SMA,F.Cu,176.000,100.000,0.000,NO,2
F1,POLYFUSE_500mA,teensy-41-can-lin:Fuse_1206_3216Metric,F.Cu,30.000,72.000,0.000,NO,2
J1,OBD2_PIGTAIL_16_WIRE_SOLDER_PADS,teensy-41-can-lin:OBD2_PigtailPads_Manufacturing,F.Cu,0.000,0.000,0.000,NO,0
J2,AUX_HEADER,teensy-41-can-lin:PinHeader_1x08_P2.54mm_Vertical,F.Cu,158.000,62.000,0.000,NO,1
JP1,LIN_MASTER_ENABLE_OPEN_0R_DNP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,F.Cu,208.000,82.000,0.000,YES,2
L1,33uH_3A_BUCK_INDUCTOR,teensy-41-can-lin:L_Radial_D8.7mm_P5.00mm_Fastron_07HCP,F.Cu,58.000,88.000,0.000,NO,1
MH1,M3,teensy-41-can-lin:MountingHole_3.2mm_M3,F.Cu,6.000,6.000,0.000,NO,12
MH2,M3,teensy-41-can-lin:MountingHole_3.2mm_M3,F.Cu,224.000,6.000,0.000,NO,12
MH3,M3,teensy-41-can-lin:MountingHole_3.2mm_M3,F.Cu,6.000,99.000,0.000,NO,12
MH4,M3,teensy-41-can-lin:MountingHole_3.2mm_M3,F.Cu,224.000,109.000,0.000,NO,12
R1,10k_LIN_RX_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,F.Cu,86.000,58.000,0.000,NO,2
R11,100k_LIN_EN_PULLDOWN,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,F.Cu,184.000,82.000,0.000,NO,2
R12,10k_CAN_A_STBY_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,F.Cu,184.000,12.000,0.000,NO,2
R13,10k_CAN_B_STBY_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,F.Cu,184.000,42.000,0.000,NO,2
R14,10k_CANFD_A_NCS_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,F.Cu,168.000,12.000,0.000,NO,2
R15,10k_CANFD_B_NCS_PULLUP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,F.Cu,168.000,42.000,0.000,NO,2
R16,1k_LIN_MASTER_PULLUP_DNP,teensy-41-can-lin:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,F.Cu,216.000,82.000,0.000,YES,2
SR1,CABLE_STRAIN_RELIEF,teensy-41-can-lin:MountingHole_3.2mm_M3,F.Cu,10.000,60.000,0.000,NO,12
SR2,CABLE_STRAIN_RELIEF,teensy-41-can-lin:MountingHole_3.2mm_M3,F.Cu,22.000,66.000,0.000,NO,12
SW1,CAN_NORMAL_CROSS_DIP_8POS,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,F.Cu,55.000,13.000,0.000,NO,1
SW2,LIN_K_SOURCE_DIP_8POS_SELECT_ONE,teensy-41-can-lin:SW_DIP_SPSTx08_Slide_9.78x22.5mm_W7.62mm_P2.54mm,F.Cu,55.000,52.000,0.000,NO,1
TP1,12V,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,34.000,60.000,0.000,NO,12
TP2,5V,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,44.000,60.000,0.000,NO,12
TP3,GND,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,24.000,60.000,0.000,NO,12
TP4,CAN_A_H,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,111.000,18.000,0.000,NO,12
TP5,CAN_A_L,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,111.000,24.000,0.000,NO,12
TP6,CAN_B_H,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,111.000,39.000,0.000,NO,12
TP7,CAN_B_L,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,111.000,45.000,0.000,NO,12
TP8,LIN_BUS,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,111.000,64.000,0.000,NO,12
TP9,AUX_LIN_K,teensy-41-can-lin:TestPoint_Pad_D1.5mm,F.Cu,158.000,88.000,0.000,NO,12
U1,TEENSY_4.1_MAIN_HEADERS_PJRC_AUDITED,teensy-41-can-lin:Teensy_4.1_MainHeaders_PJRC_Audited,F.Cu,154.240,-88.420,-90.000,NO,0
U2,MCP2562FD_CAN_A_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm,B.Cu,131.025,34.095,90.000,NO,2
U3,MCP2562FD_CAN_B_3V3_IO,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm,B.Cu,131.525,57.095,180.000,NO,2
U4,TLIN1029DRQ1_LIN_3V3_LOGIC,teensy-41-can-lin:SOIC-8_3.9x4.9mm_P1.27mm,B.Cu,131.525,82.095,-90.000,NO,2
U5,LM2596S-5.0_BUCK,teensy-41-can-lin:TO-263-5_TabPin3,F.Cu,42.000,88.000,0.000,NO,2
U6,MCP2518FD_A_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm,B.Cu,192.000,24.000,180.000,NO,2
U7,MCP2518FD_B_SOIC14,teensy-41-can-lin:SOIC-14_3.9x8.7mm_P1.27mm,B.Cu,192.000,62.000,180.000,NO,2
Y1,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,F.Cu,206.000,24.000,90.000,NO,2
Y2,40MHz_3225_VERIFY_CL,teensy-41-can-lin:Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,F.Cu,206.000,62.000,90.000,NO,2
